sseqid,length,isolate
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,8264,ERR1036060
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,8171,ERR1036060
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,5714,SRR14024974
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,7546,ERR1156192
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,7546,SRR14024953
ICEberg|403|CTn7|GenBank|AM180355|3938102..3963961,12143,SRR14011011
ICEberg|770|ICECp1|GenBank|LN835295|52023..84499,9847,SRR14011011
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,5608,SRR14011011
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,17493,ERR1156242
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,14144,ERR1156242
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,11806,ERR1156242
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,9360,ERR1156242
ICEberg|328|Tn6084|GenBank|HM243622|34197..56508,9279,ERR1156242
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,7438,ERR374915
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,7440,ERR374763
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,10529,ERR1216304
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,5944,ERR1216304
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,9209,ERR377440
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,8731,ERR377440
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,5918,ERR377440
ICEberg|326|Tn6087|GenBank|HQ663849|1..21169,5186,ERR377440
ICEberg|770|ICECp1|GenBank|LN835295|52023..84499,12684,ERR375380
ICEberg|403|CTn7|GenBank|AM180355|3938102..3963961,12129,ERR375380
ICEberg|328|Tn6084|GenBank|HM243622|34197..56508,6098,ERR375380
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,5931,ERR375380
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,16140,ERR1100636
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,15286,ERR1100636
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,12114,ERR1100636
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,6197,ERR1100636
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,14121,ERR1036036
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,13064,ERR1036036
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,7170,ERR1036036
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,5463,ERR1036036
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,14121,ERR1036064
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,12844,ERR1036064
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,6939,ERR1036064
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,6953,ERR1156217
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,8961,ERR370015
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,8264,ERR370015
ICEberg|318|Tn6085b|GenBank|HM243623|12581..33370,16903,ERR375283
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,11685,ERR375283
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,9100,ERR375283
ICEberg|323|ICECdiM120-1|GenBank|FN665653|2171649..2189550,8067,ERR375283
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,10631,ERR375473
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,10230,ERR375473
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,9230,ERR375473
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,13309,ERR375256
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,10229,ERR375256
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,8155,ERR375256
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,18036,ERR1036078
ICEberg|87|ICESpn9409|GenBank|FR671418|1..22765,16343,ERR1036078
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,15979,ERR1036078
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,14813,ERR1036078
ICEberg|328|Tn6084|GenBank|HM243622|34197..56508,11267,ERR1036078
ICEberg|86|ICESpn11928|GenBank|FR671417|1..22793,5268,ERR1036078
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,18010,SRR14026465
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,11820,SRR14026465
ICEberg|314|ICECdiM68-1|GenBank|FN668375|334783..353473,10680,SRR14026465
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,8700,SRR14026465
ICEberg|402|CTn6|GenBank|AM180355|3890925..3910292,5854,SRR14026465
ICEberg|328|Tn6084|GenBank|HM243622|34197..56508,5308,SRR14011036
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,7114,ERR375085
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,5209,ERR375085
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,15998,ERR1100572
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,15265,ERR1100572
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,14071,ERR1100572
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,9664,ERR1100572
ICEberg|328|Tn6084|GenBank|HM243622|34197..56508,5308,SRR14011003
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,5995,ERR375129
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,19411,ERR1156182
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,15975,ERR1156182
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,11806,ERR1156182
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,9360,ERR1156182
ICEberg|328|Tn6084|GenBank|HM243622|34197..56508,9279,ERR1156182
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,5870,ERR374663
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,5870,ERR374774
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,9192,ERR985105
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,12054,ERR374696
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,7988,ERR374696
ICEberg|328|Tn6084|GenBank|HM243622|34197..56508,11057,ERR987527
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,10939,ERR987527
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,7850,ERR987527
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,5352,ERR987527
ICEberg|318|Tn6085b|GenBank|HM243623|12581..33370,16903,ERR374898
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,9984,ERR374898
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,9734,ERR374898
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,7440,ERR375120
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,7440,ERR377462
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,16480,ERR1100579
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,14144,ERR1100579
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,11806,ERR1100579
ICEberg|328|Tn6084|GenBank|HM243622|34197..56508,10800,ERR1100579
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,9360,ERR1100579
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,10738,ERR375483
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,8135,ERR375483
ICEberg|326|Tn6087|GenBank|HQ663849|1..21169,5973,ERR375483
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,14121,ERR987536
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,12844,ERR987536
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,6939,ERR987536
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,6326,ERR1100635
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,6275,ERR1100635
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,5163,ERR1100635
ICEberg|326|Tn6087|GenBank|HQ663849|1..21169,5045,ERR1100635
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,7717,ERR1156227
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,6467,ERR1156227
ICEberg|326|Tn6087|GenBank|HQ663849|1..21169,5829,ERR1156227
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,12705,ERR985064
ICEberg|314|ICECdiM68-1|GenBank|FN668375|334783..353473,8264,ERR985064
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,6779,ERR985064
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,5898,ERR985064
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,13776,ERR369997
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,8264,ERR369997
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,6351,ERR369997
ICEberg|326|Tn6087|GenBank|HQ663849|1..21169,5972,ERR369997
ICEberg|318|Tn6085b|GenBank|HM243623|12581..33370,14935,ERR375497
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,10436,ERR375497
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,8267,ERR375497
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,6575,ERR375497
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,10846,ERR375481
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,6428,ERR375481
ICEberg|318|Tn6085b|GenBank|HM243623|12581..33370,14935,ERR375313
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,8762,ERR375313
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,8267,ERR375313
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,6059,ERR375313
ICEberg|318|Tn6085b|GenBank|HM243623|12581..33370,14935,ERR369951
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,8762,ERR369951
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,8267,ERR369951
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,6059,ERR369951
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,14121,ERR1036045
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,11139,ERR1036045
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,8602,ERR1036045
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,6116,ERR1036045
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,17649,ERR985078
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,5400,ERR985078
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,14379,ERR375195
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,8875,ERR375195
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,8264,ERR375195
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,12051,SRR14010983
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,7775,SRR14010983
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,18036,ERR987561
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,15978,ERR987561
ICEberg|87|ICESpn9409|GenBank|FR671418|1..22765,14020,ERR987561
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,12583,ERR987561
ICEberg|328|Tn6084|GenBank|HM243622|34197..56508,8162,ERR987561
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,18036,SRR14022767
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,15978,SRR14022767
ICEberg|82|ICESpnH034800032|GenBank|FR671414|1..20370,14020,SRR14022767
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,12971,SRR14022767
ICEberg|328|Tn6084|GenBank|HM243622|34197..56508,9676,SRR14022767
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,5540,ERR374791
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,14121,ERR985033
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,12844,ERR985033
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,6939,ERR985033
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,6879,ERR985033
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,15066,ERR985031
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,14121,ERR985031
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,9405,ERR985031
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,5885,ERR985031
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,11255,ERR375135
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,9678,ERR375135
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,8264,ERR375135
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,10255,SRR14026516
ICEberg|318|Tn6085b|GenBank|HM243623|12581..33370,9685,SRR14026516
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,6300,SRR14026516
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,5898,SRR14026516
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,17830,ERR1100601
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,16684,ERR1100601
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,11806,ERR1100601
ICEberg|328|Tn6084|GenBank|HM243622|34197..56508,9761,ERR1100601
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,9360,ERR1100601
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,5540,ERR1036056
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,11120,ERR1100625
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,5972,ERR1100625
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,5661,ERR1100625
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,17563,SRR14010969
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,13257,SRR14010969
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,11735,SRR14010969
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,9467,SRR14010969
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,7842,ERR1156199
ICEberg|403|CTn7|GenBank|AM180355|3938102..3963961,14594,ERR375076
ICEberg|770|ICECp1|GenBank|LN835295|52023..84499,11630,ERR375076
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,6224,ERR375076
ICEberg|328|Tn6084|GenBank|HM243622|34197..56508,5704,ERR375076
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,21207,ERR1156267
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,12723,ERR1156267
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,11820,ERR1156267
ICEberg|314|ICECdiM68-1|GenBank|FN668375|334783..353473,10680,ERR1156267
ICEberg|326|Tn6087|GenBank|HQ663849|1..21169,6037,ERR1156267
ICEberg|402|CTn6|GenBank|AM180355|3890925..3910292,5854,ERR1156267
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,5540,ERR1156267
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,18010,SRR14026508
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,11820,SRR14026508
ICEberg|314|ICECdiM68-1|GenBank|FN668375|334783..353473,10680,SRR14026508
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,9804,SRR14026508
ICEberg|402|CTn6|GenBank|AM180355|3890925..3910292,5854,SRR14026508
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,14149,ERR1100622
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,10008,ERR1100622
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,8133,ERR1100622
ICEberg|402|CTn6|GenBank|AM180355|3890925..3910292,6151,ERR1100622
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,18036,SRR14026445
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,15978,SRR14026445
ICEberg|86|ICESpn11928|GenBank|FR671417|1..22793,14189,SRR14026445
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,13763,SRR14026445
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,7923,ERR374707
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,17172,ERR1156187
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,14144,ERR1156187
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,13688,ERR1156187
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,9360,ERR1156187
ICEberg|328|Tn6084|GenBank|HM243622|34197..56508,9127,ERR1156187
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,5540,ERR374899
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,6450,SRR14022769
ICEberg|318|Tn6085b|GenBank|HM243623|12581..33370,16903,ERR987576
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,9366,ERR987576
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,7960,ERR987576
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,20487,SRR14011014
ICEberg|314|ICECdiM68-1|GenBank|FN668375|334783..353473,18693,SRR14011014
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,17704,SRR14011014
ICEberg|770|ICECp1|GenBank|LN835295|52023..84499,5639,SRR14011014
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,5870,ERR377446
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,9041,ERR377468
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,8111,ERR377468
ICEberg|326|Tn6087|GenBank|HQ663849|1..21169,5041,ERR377468
ICEberg|328|Tn6084|GenBank|HM243622|34197..56508,15429,ERR374744
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,14876,ERR374744
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,5984,ERR374744
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,11057,ERR374944
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,10080,ERR374944
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,9484,ERR374944
ICEberg|318|Tn6085b|GenBank|HM243623|12581..33370,8319,ERR374944
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,6402,ERR987520
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,16248,ERR1036025
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,10229,ERR1036025
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,8155,ERR1036025
ICEberg|314|ICECdiM68-1|GenBank|FN668375|334783..353473,7777,ERR388717
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,6503,ERR388717
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,5580,ERR388717
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,10631,ERR374787
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,10229,ERR374787
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,8447,ERR374787
ICEberg|328|Tn6084|GenBank|HM243622|34197..56508,5177,ERR377436
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,15066,ERR985025
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,14121,ERR985025
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,8603,ERR985025
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,5885,ERR985025
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,15975,SRR14026472
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,14144,SRR14026472
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,11806,SRR14026472
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,9360,SRR14026472
ICEberg|328|Tn6084|GenBank|HM243622|34197..56508,9127,SRR14026472
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,7040,SRR14024971
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,10457,ERR375041
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,8498,ERR375041
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,8726,ERR1156274
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,9045,ERR374767
ICEberg|398|CTn1|GenBank|AM180355|428851..453332,16941,ERR987582
ICEberg|770|ICECp1|GenBank|LN835295|52023..84499,14445,ERR987582
ICEberg|403|CTn7|GenBank|AM180355|3938102..3963961,12266,ERR987582
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,10523,ERR987582
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,5692,ERR987582
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,5540,SRR14024964
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,15427,ERR1216305
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,14144,ERR1216305
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,11806,ERR1216305
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,9360,ERR1216305
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,18036,ERR1156253
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,15978,ERR1156253
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,14570,ERR1156253
ICEberg|86|ICESpn11928|GenBank|FR671417|1..22793,14189,ERR1156253
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,14001,SRR14025003
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,12113,SRR14025003
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,10107,SRR14025003
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,11274,ERR987508
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,10635,ERR987508
ICEberg|314|ICECdiM68-1|GenBank|FN668375|334783..353473,8264,ERR987508
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,22146,ERR987570
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,18080,ERR987570
ICEberg|770|ICECp1|GenBank|LN835295|52023..84499,17684,ERR987570
ICEberg|47|Tn5251(partofTn5253)|GenBank|FJ711160|1..18033,14833,ERR987570
ICEberg|86|ICESpn11928|GenBank|FR671417|1..22793,14192,ERR987570
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,13184,ERR987570
ICEberg|403|CTn7|GenBank|AM180355|3938102..3963961,13056,ERR987570
ICEberg|398|CTn1|GenBank|AM180355|428851..453332,12042,ERR987570
ICEberg|402|CTn6|GenBank|AM180355|3890925..3910292,7482,ERR987570
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,6964,ERR1156312
ICEberg|323|ICECdiM120-1|GenBank|FN665653|2171649..2189550,9857,SRR14024978
ICEberg|47|Tn5251(partofTn5253)|GenBank|FJ711160|1..18033,9853,SRR14024978
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,15427,SRR14026478
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,12409,SRR14026478
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,12353,SRR14026478
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,10244,SRR14026478
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,14574,ERR374836
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,11666,ERR374836
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,8176,ERR374836
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,12626,ERR987593
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,8264,ERR987593
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,6059,ERR987593
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,13185,ERR369958
ICEberg|314|ICECdiM68-1|GenBank|FN668375|334783..353473,8264,ERR369958
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,6402,SRR14024956
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,8762,ERR377485
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,8762,ERR377485
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,6059,ERR377485
ICEberg|326|Tn6087|GenBank|HQ663849|1..21169,5972,ERR377485
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,13524,ERR374743
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,8265,ERR374743
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,7335,ERR374743
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,14121,ERR985093
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,13064,ERR985093
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,8603,ERR985093
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,7197,ERR985093
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,14121,ERR985079
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,12844,ERR985079
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,7170,ERR985079
ICEberg|328|Tn6084|GenBank|HM243622|34197..56508,7130,ERR374735
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,14652,ERR1156320
ICEberg|323|ICECdiM120-1|GenBank|FN665653|2171649..2189550,10546,ERR1156320
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,8762,ERR375365
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,8264,ERR375365
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,6575,ERR375365
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,14121,ERR1036031
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,13064,ERR1036031
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,8603,ERR1036031
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,7171,ERR1036031
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,6402,SRR14026450
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,7114,ERR374917
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,6110,ERR374917
ICEberg|328|Tn6084|GenBank|HM243622|34197..56508,5734,ERR374917
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,12051,SRR14010946
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,7652,SRR14010946
ICEberg|326|Tn6087|GenBank|HQ663849|1..21169,5041,SRR14010946
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,5864,ERR984984
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,14169,ERR374939
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,8475,ERR374939
ICEberg|314|ICECdiM68-1|GenBank|FN668375|334783..353473,8264,ERR374939
ICEberg|318|Tn6085b|GenBank|HM243623|12581..33370,9686,ERR375440
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,7653,ERR375440
